name,year,artist,genre,bit_rate,rating
I Want It,2016,Blue October,Alternative,320,5
name,year,artist,genre,bit_rate,rating
The Rest of My Heart,2015,Bryan Rice,Pop,256,3
name,year,artist,genre,bit_rate,rating
Got Love,2014,Tove Lo,Pop,256,5
name,year,artist,genre,bit_rate,rating
Surrender,2015,IAMX,Synthpop,320,3
name,year,artist,genre,bit_rate,rating
Tonight,2014,Magic Man,Alternative,256,4
name,year,artist,genre,bit_rate,rating
I'm Bo Yo,2009,Bo Burnham,Comedy,256,5
name,year,artist,genre,bit_rate,rating
Animal,2016,The Dunwells,Indie Rock,320,4
name,year,artist,genre,bit_rate,rating
name,year,artist,genre,bit_rate,rating
name,year,artist,genre,bit_rate,rating
Summer,2015,MOGWAI,Post Rock,320,2
name,year,artist,genre,bit_rate,rating
A Head Full of Dreams,2015,Coldplay,Alternative,256,5
name,year,artist,genre,bit_rate,rating
Uma Thurman,2015,Fall Out Boy,Pop Rock,128,3
name,year,artist,genre,bit_rate,rating
Dance Bear,unknown,Shakadaktal,Indie,256,4
name,year,artist,genre,bit_rate,rating
Drumming Song,2009,Florence + The Machine,Alternative,256,4
name,year,artist,genre,bit_rate,rating
Murder In The City,2008,The Avett Brothers,Folk,173,3
name,year,artist,genre,bit_rate,rating
The Hardest Part,2005,Coldplay,Rock,128,4
name,year,artist,genre,bit_rate,rating
Givin N Takin Feat. Danny Seth & DeJ Loaf,2014,The Neighbourhood,Hip Hop/Rap,192,4
name,year,artist,genre,bit_rate,rating
On Untitled,2015,Interpol,Post-Punk,320,1
name,year,artist,genre,bit_rate,rating
Paloma,2014,Carbon Leaf,Rock,320,4
name,year,artist,genre,bit_rate,rating
name,year,artist,genre,bit_rate,rating
name,year,artist,genre,bit_rate,rating
The Rite of Spring: Danse des adolescentes,2014,Igor Stravinksy,Classical,256,3
name,year,artist,genre,bit_rate,rating
Welcome Home (The Nebulas Song) track mix,2010,Janis Ian,Electronic,192,3
name,year,artist,genre,bit_rate,rating
Fun,2014,Troye Sivan,Pop,256,5
name,year,artist,genre,bit_rate,rating
name,year,artist,genre,bit_rate,rating
Aha!,2012,Pentatonix,Pop,256,5
name,year,artist,genre,bit_rate,rating
Homology Myself,2014,Tarwater,Post Rock,320,4
name,year,artist,genre,bit_rate,rating
I Want You Back,2014,Jackson 5,Soundtrack,320,2
name,year,artist,genre,bit_rate,rating
I Don't Want To Be Here Anymore,2014,Rise Against,Rock,320,5
name,year,artist,genre,bit_rate,rating
Noah,2015,Amber Run,Rock,320,4
name,year,artist,genre,bit_rate,rating
Build Me Up Buttercup,unknown,Nickelback,Rock,128,1
name,year,artist,genre,bit_rate,rating
His Streets Of Honey, Her Mouth Of Gold,2014,Kerretta,Instrumental,262,4
name,year,artist,genre,bit_rate,rating
9 Crimes,2006,Damien Rice,Alternative Rock,256,4
name,year,artist,genre,bit_rate,rating
Sweet Home Alabama,1973,Lynyrd Skynyrd,Rock,160,3
name,year,artist,genre,bit_rate,rating
Club Can't Handle Me (feat. David Guetta) [From "Step Up 3D"],2010,Flo Rida,Hip Hop/Rap,256,1
name,year,artist,genre,bit_rate,rating
Disc Wars,2010,Daft Punk,Soundtrack,239,3
name,year,artist,genre,bit_rate,rating
Sexotheque,2014,La Roux,Pop,320,2
name,year,artist,genre,bit_rate,rating
Kiss the Girl,2006,Samuel E. Wright,Soundtrack,256,4
name,year,artist,genre,bit_rate,rating
name,year,artist,genre,bit_rate,rating
name,year,artist,genre,bit_rate,rating
Ghost feat. Patrick Baker (Audion Remix),2016,Lane 8,Electronic,275,4
name,year,artist,genre,bit_rate,rating
Touch,2016,Sleeping At Last,Alternative,235,4
name,year,artist,genre,bit_rate,rating
Bizet Verse 2 Pronunciation,2014,G280i6,Voice Memo,64,1
name,year,artist,genre,bit_rate,rating
Darkest of Intentions,2015,Brian Tyler,Soundtrack,128,3
name,year,artist,genre,bit_rate,rating
Solitude,2016,M83,Electronic,320,4
name,year,artist,genre,bit_rate,rating
Flynn Lives,2010,Daft Punk,Soundtrack,244,3
name,year,artist,genre,bit_rate,rating
name,year,artist,genre,bit_rate,rating
name,year,artist,genre,bit_rate,rating
Stone in Exile,2014,Tarwater,Post Rock,320,2
name,year,artist,genre,bit_rate,rating
PPr:Kut,2002,Linkin Park,Rock,192,1
name,year,artist,genre,bit_rate,rating
Petals,unknown,Biblio,Indie Electronic,128,4
name,year,artist,genre,bit_rate,rating
Every Teardrop Is A Waterfall (Swedish House Mafia Remix),2011,Coldplay,Remix,320,5
name,year,artist,genre,bit_rate,rating
Baby Don't You Do It (New York Record Plant Session),2014,The Who,Rock,278,2
name,year,artist,genre,bit_rate,rating
Appalachian Snowfall,1998,Trans-Siberian Orchestra,Holiday,256,1
name,year,artist,genre,bit_rate,rating
Home (Tim Palmer Mix),2016,Blue October,Alternative,320,5
name,year,artist,genre,bit_rate,rating
Serotonin Storm,2015,Hinkstep,Ambient,320,3
name,year,artist,genre,bit_rate,rating
The Sea,2014,Carbon Leaf,Rock,320,5
name,year,artist,genre,bit_rate,rating
Calling All Angels,2003,Train,Rock,192,4
name,year,artist,genre,bit_rate,rating
Silver Linings,unknown,Leo Kalyan,Indie Electronic,128,4
name,year,artist,genre,bit_rate,rating
Yellow Flicker Beat (String Quartet Tribute to Lorde),2015,Vitamin String Quartet,Pop,320,5
name,year,artist,genre,bit_rate,rating
name,year,artist,genre,bit_rate,rating
AfterHours,2014,AJR,Pop,320,5
name,year,artist,genre,bit_rate,rating
Should Have Known Better,2015,Sufjan Stevens,Singer/Songwriter,256,5
name,year,artist,genre,bit_rate,rating
Wake Me Up Before You Go-Go,2014,Pomplamoose,Alternative,320,3
name,year,artist,genre,bit_rate,rating
Lovers,2016,Albin Lee Meldau,Alternative,232,4
name,year,artist,genre,bit_rate,rating
Hard To Find,2013,The National,Alternative,320,4
name,year,artist,genre,bit_rate,rating
They Shall Be Called (Part II),2015,White Morning,Instrumental,192,3
name,year,artist,genre,bit_rate,rating
name,year,artist,genre,bit_rate,rating
Sometimes,2009,Skillet,Rock,256,2
name,year,artist,genre,bit_rate,rating
Immortals,2015,Fall Out Boy,Pop Rock,128,5
name,year,artist,genre,bit_rate,rating
It Begins,2015,Danny Elfman,Soundtrack,128,3
name,year,artist,genre,bit_rate,rating
name,year,artist,genre,bit_rate,rating
All You're Waiting for,2013,Classixx,Electronic,256,3
name,year,artist,genre,bit_rate,rating
Moonage Daydream,2014,David Bowie,Soundtrack,320,2
name,year,artist,genre,bit_rate,rating
Leave It In The Dressing Room (Shake It Up),2016,Blue October,Alternative,320,3
name,year,artist,genre,bit_rate,rating
Organs,2015,Of Monsters And Men,Indie Rock,320,3
name,year,artist,genre,bit_rate,rating
Kiss the Girl (Soundtrack Version),2006,Samuel E. Wright,Soundtrack,256,1
name,year,artist,genre,bit_rate,rating
Ominous Man,1996,The Verve Pipe,Rock,128,3
name,year,artist,genre,bit_rate,rating
Comes and Goes (In Waves),2008,Greg Laswell,Singer/Songwriter,256,4
name,year,artist,genre,bit_rate,rating
Bury Me Alive,2015,Breaking Benjamin,Rock,320,2
name,year,artist,genre,bit_rate,rating
The Employment Pages,2000,Death Cab for Cutie,Indie Pop,233,5
name,year,artist,genre,bit_rate,rating
Mutatis,2014,Blueneck,Post Rock,320,5
name,year,artist,genre,bit_rate,rating
Build God, Then We'll Talk,2005,Panic! at the Disco,Rock,256,2
name,year,artist,genre,bit_rate,rating
Bad Self Portraits,2014,Lake Street Dive,Adult Alternative,256,1
name,year,artist,genre,bit_rate,rating
Happy,2014,Boyce Avenue,Rock,256,1
name,year,artist,genre,bit_rate,rating
Sing Unto God,unknown,OMEA All-State Choir 2012-2013,Classical,256,1
name,year,artist,genre,bit_rate,rating
The Nights (Felix Jaehn Remix),2014,Avicii,Dance,320,3
name,year,artist,genre,bit_rate,rating
What Lies Beneath,2009,Breaking Benjamin,Rock,280,2
name,year,artist,genre,bit_rate,rating
name,year,artist,genre,bit_rate,rating
name,year,artist,genre,bit_rate,rating
End of Line,2010,Daft Punk,Soundtrack,247,3
name,year,artist,genre,bit_rate,rating
When I Get Back Feat. G-Eazy,2014,The Neighbourhood,Hip Hop/Rap,192,1
name,year,artist,genre,bit_rate,rating
Maps,2003,Yeah Yeah Yeahs,Alternative Punk,256,5
name,year,artist,genre,bit_rate,rating
Im Not Through,2014,OK Go,Alternative,128,4
name,year,artist,genre,bit_rate,rating
name,year,artist,genre,bit_rate,rating
Turn Up The Radio,2014,OK Go,Alternative,128,4
name,year,artist,genre,bit_rate,rating
Say Something,2015,Pentatonix,Pop,320,5
name,year,artist,genre,bit_rate,rating
All in the Mind,unknown,Murray Gold,Soundtrack,128,3
name,year,artist,genre,bit_rate,rating
Every Breaking Wave,2014,U2,Rock,256,5
name,year,artist,genre,bit_rate,rating
Riff Off,2015,Das Sound Machine, Tone Hangers, The Barden Bellas, Green Bay Packers, The Treblemakers,Soundtrack,320,4
name,year,artist,genre,bit_rate,rating
See You Soon,2015,Amber Run,Rock,320,3
name,year,artist,genre,bit_rate,rating
Keep On Wanting,2014,The Fray,Rock,320,3
name,year,artist,genre,bit_rate,rating
