song identifier, likelihood_art, likelihood_pop, likelihood_tradition, likely_type, was_art, was_pop, was_tradition, was_type
cache/2014.Seven Saturdays.Seven Saturdays (Ambient).Fields (Ambient).wav,0.10231516510248184,0.8106476068496704,0.08703721314668655,1,1,0,0,0
cache/2014.Seven Saturdays.Seven Saturdays (Ambient).Fields (Ambient).wav,0.24977730214595795,0.6839192509651184,0.06630343198776245,1,1,0,0,0
cache/2014.The Who.Who's Next (Deluxe Edition).Won't Get Fooled Again (Live).wav,0.08859561383724213,0.8088873624801636,0.10251699388027191,1,1,0,0,1
cache/2001.Bond.Born.Bella Donna.wav,0.09119357913732529,0.8756405711174011,0.03316584601998329,1,1,0,0,1
cache/2016.Anya Marina.Paper Plane.Go to Bed.wav,0.09036622196435928,0.8188813328742981,0.09075243771076202,1,1,0,0,2
cache/2016.Mumford & Sons.Sigh No More.Little Lion Man.wav,0.17137262225151062,0.6645560264587402,0.16407132148742676,1,1,0,0,2
cache/2014.The Fray.Helios.Hold My Hand.wav,0.14539583027362823,0.7263244390487671,0.12827973067760468,1,1,0,0,1
cache/2005.Flyleaf.Flyleaf.Breathe Today.wav,0.26715537905693054,0.6162405610084534,0.11660408228635788,1,1,0,0,1
cache/2015.Of Monsters And Men.Beneath The Skin.Empire.wav,0.11178889125585556,0.8011287450790405,0.0870823860168457,1,1,0,0,1
cache/1999.Kim Carnes.Best of Kim Carnes.Crazy in the Night (Barking at Airplanes).wav,0.08684699237346649,0.8758799433708191,0.037273064255714417,1,1,0,0,1
cache/2014.The Who.Who's Next (Deluxe Edition).Bargain (Live).wav,0.19262313842773438,0.7209258675575256,0.08645099401473999,1,1,0,0,1
cache/2015.MOGWAI.Central Belters.Tell Everyone That I love Them.wav,0.07418151944875717,0.8838629722595215,0.041955526918172836,1,1,0,0,1
cache/2014.Lower Than Atlantis.Lower Than Atlantis (Deluxe).Emily.wav,0.1273108571767807,0.823342502117157,0.04934661090373993,1,1,0,0,1
cache/2016.Elton John.Peachtree Road.It's Getting Dark In Here.wav,0.10649937391281128,0.7622275352478027,0.1312730759382248,1,1,0,0,1
cache/2014.So Cow.The Long Con.Guess Who's Dead.wav,0.06976718455553055,0.8737439513206482,0.05648885667324066,1,1,0,0,1
cache/2014.Foo Fighters.Sonic Highways.In The Clear.wav,0.04848536103963852,0.8939523100852966,0.05756230652332306,1,1,0,0,1
cache/2014.James Newton Howard.The Hunger Games - Mockingjay Pt. 1 (Original Motin Picture Score).Katniss' Nightmare.wav,0.06513814628124237,0.8984708189964294,0.036391034722328186,1,1,0,0,0
cache/2015.Amber Run.5AM (Deluxe) WEB.Just My Soul Responding.wav,0.09057895094156265,0.8177837133407593,0.09163735806941986,1,1,0,0,1
cache/2002.Death Cab For Cutie.You Can Play These Songs With Chords.This Charming Man.wav,0.17401166260242462,0.7291653752326965,0.09682293236255646,1,1,0,0,1
cache/2010.Linkin Park.A Thousand Suns.Wretches And Kings.wav,0.04651179909706116,0.9169505834579468,0.03653761371970177,1,1,0,0,1
cache/2015.Beware of Safety.Mabon.Shutters.wav,0.14652393758296967,0.7435024380683899,0.10997362434864044,1,1,0,0,1
cache/2003.Death Cab For Cutie.Transatlanticism.Title And Registration.wav,0.09718101471662521,0.8219582438468933,0.08086075633764267,1,1,0,0,1
cache/2016.Tall Heights.Man of Stone.Field of Snow.wav,0.08043460547924042,0.7721788883209229,0.14738652110099792,1,1,0,0,2
cache/2009.Super Mash Bros..All About The Scrilions.This Is Definitely Not The 405.wav,0.07189973443746567,0.8403235673904419,0.08777671307325363,1,1,0,0,1
cache/2014.Kerretta.Pirohia.Ossein Trail.wav,0.040058065205812454,0.9118677973747253,0.04807412624359131,1,1,0,0,0
cache/2016.Albin Lee Meldau.Lovers - EP.Darling.wav,0.06846881657838821,0.8842009902000427,0.04733019322156906,1,1,0,0,1
cache/2015.Fall Out Boy.American BeautyAmerican Psycho.Uma Thurman.wav,0.11203540116548538,0.842841386795044,0.04512321203947067,1,1,0,0,1
cache/2006.John Mayer.Continuum.Waiting on the World to Change.wav,0.09841668605804443,0.7451281547546387,0.1564551442861557,1,1,0,0,1
cache/2014.Lower Than Atlantis.Lower Than Atlantis (Deluxe).Here We Go (Alternative Version).wav,0.060430239886045456,0.9060660004615784,0.03350374847650528,1,1,0,0,1
cache/2001.Death Cab for Cutie.The Photo Album.A Movie Script Ending.wav,0.1492709070444107,0.724264919757843,0.12646418809890747,1,1,0,0,1
cache/2015.MOGWAI.Central Belters.I'm Jim Morrison, I'm Dead.wav,0.06674579530954361,0.8910505175590515,0.04220370203256607,1,1,0,0,1
cache/1997.Kenny Loggins.Yesterday, Today, Tomorrow: The Greatest Hits.Footloose.wav,0.08886299282312393,0.8692400455474854,0.041896969079971313,1,1,0,0,1
cache/1994.The London Symphony Orchestra.The Performs Sting.Synchronicity II.wav,0.042958084493875504,0.890663743019104,0.0663781613111496,1,1,0,0,1
cache/2002.Death Cab For Cutie.You Can Play These Songs With Chords.Tv Trays.wav,0.09867900609970093,0.838424801826477,0.06289616227149963,1,1,0,0,1
cache/2014.Fences.Lesser Oceans.Dusty Beds.wav,0.059237584471702576,0.852371871471405,0.0883905366063118,1,1,0,0,1
