song identifier	 likelihood_art	 likelihood_pop	 likelihood_tradition	 likely_type	 was_art	 was_pop	 was_tradition	 was_type	
cache/2001.Josh Ritter.Golden Age of Radio.Come and Find Me.wav	0.045749124	0.910816669	0.043434225	1	0	1	0	1	
cache/2001.Josh Ritter.Golden Age of Radio.Come and Find Me.wav	0.09826491	0.77810818	0.123626903	1	0	1	0	1	
cache/2013.OK Go.Twelve Months of OK Go.Oliver's Army (Elvis Costello cover).wav	0.085212044	0.87150079	0.043287154	1	0	1	0	1	
"cache/2014.The Decemberists.What a Terrible World, What a Beautiful World.Carolina Low.wav"	0.07257735	0.865098059	0.062324606	1	0	1	0	1	
cache/2015.MOGWAI.Central Belters.I Know You Are But What Am I?.wav	0.104927264	0.821189523	0.073883235	1	0	1	0	1	
cache/2016.Blue October.Home.Home (Tim Palmer Mix).wav	0.044082716	0.902586043	0.053331226	1	0	1	0	1	
cache/2014.The Neighbourhood.#000000 & #Ffffff.Unfair.wav	0.08112213	0.868607402	0.050270446	1	0	1	0	1	
cache/2016.Peter Hollins Acappella.The Hobbit.Misty Mountains.wav	0.038738858	0.919302344	0.041958787	1	0	1	0	0	
cache/2015.Danny Elfman.Avengers: Age of Ultron.Nothing Lasts Forever.wav	0.163215369	0.708127201	0.128657416	1	0	1	0	0	
cache/2015.Zeke Duhon.Zeke Duhon.Hold Fast.wav	0.112198234	0.780633211	0.107168548	1	0	1	0	2	
cache/2005.The Fray.How to Save a Life.Hundred.wav	0.132770717	0.757095098	0.110134177	1	0	1	0	1	
cache/2015.MOGWAI.Central Belters.Rano Pano.wav	0.04536958	0.908866107	0.045764301	1	0	1	0	1	
cache/2016.John Mayer.Any Given Thursday (2).Your Body is a Wonderland.wav	0.089944504	0.72679168	0.183263794	1	0	1	0	1	
cache/2013.The National.Trouble Will Find Me.Humiliation.wav	0.064579569	0.851455033	0.083965383	1	0	1	0	1	
cache/2014.Damien Rice.My Favourite Faded Fantasy.Trusty And True.wav	0.067376494	0.908999145	0.023624389	1	0	1	0	1	
cache/2015.Jessie J.Pitch Perfect 2.Flashlight.wav	0.103310369	0.866116107	0.030573508	1	0	1	0	0	
cache/2009.Breaking Benjamin.Dear Agony.Give Me A Sign.wav	0.098961927	0.838609219	0.062428854	1	0	1	0	1	
cache/2002.KutMasta Kurt.Reanimation.Enth E Nd.wav	0.03865476	0.902574122	0.058771092	1	0	1	0	1	
cache/2014.Damien Rice.My Favourite Faded Fantasy.Long Long Way.wav	0.077929281	0.845032632	0.077038065	1	0	1	0	1	
cache/2015.Three Days Grace.Human.So What.wav	0.062089223	0.915785551	0.022125253	1	0	1	0	1	
cache/2015.Lowland Hum.Native Air.War Is Over.wav	0.190835938	0.716058195	0.09310586	1	0	1	0	2	
cache/2002.Switchfoot.A Walk to Remember.Dare You to Move.wav	0.04818112	0.921456039	0.030362858	1	0	1	0	0	
cache/2016.Liss.First.Good Enough.wav	0.083050452	0.861153781	0.055795789	1	0	1	0	1	
cache/2016.M83.Junk.Solitude.wav	0.074907996	0.751973629	0.173118398	1	0	1	0	1	
cache/2007.Enrique Iglesias.Insomniac.Little Girl.wav	0.157944009	0.758851349	0.083204649	1	0	1	0	2	
cache/2006.Daniel Powter.Love You Lately.Love You Lately (Album Version).wav	0.100130364	0.809403002	0.090466611	1	0	1	0	1	
cache/2014.We Were Promised Jetpacks.Unravelling.Peaks And Troughs.wav	0.214457437	0.705454886	0.080087654	1	0	1	0	1	
cache/2006.Snow Patrol.Eyes Open.Headlights On Dark Roads.wav	0.079836816	0.882846236	0.037316948	1	0	1	0	1	
cache/2002.Linkin Park.Reanimation.PPr:Kut.wav	0.069784366	0.878491223	0.051724423	1	0	1	0	1	
cache/2012.Trampled By Turtles.Stars and Satellites.Midnight on the Interstate.wav	0.077818416	0.873356044	0.048825555	1	0	1	0	2	
cache/2015.Of Monsters And Men.Beneath The Skin.Slow Life.wav	0.06731496	0.88059777	0.052087247	1	0	1	0	1	
cache/2003.Coldplay.Live 2003.Politik.wav	0.048062764	0.873060048	0.078877203	1	0	1	0	1	
cache/2016.Aperture Science Psychoacoustics Laboratory.Portal 2: Songs to Test By - Volume 3.Wheatley Science.wav	0.150387421	0.639297247	0.210315332	1	0	1	0	0	
cache/2006.Breaking Benjamin.Phobia.The Diary Of Jane.wav	0.103384353	0.850350201	0.046265464	1	0	1	0	1	
cache/2015.Hinkstep.My Forest Queen.Feeling Like A Sunset.wav	0.085867397	0.839160502	0.074972086	1	0	1	0	0	
cache/2016.Nickelback.The State.Build Me Up Buttercup.wav	0.232171759	0.565063477	0.202764794	1	0	1	0	1	
cache/2015.Dawn And Hawkes.Golden Heart EP + Yours and Mine Preview.A Catch.wav	0.075960793	0.827782929	0.096256301	1	0	1	0	2	
cache/2014.The Life And Times.Lost Bees.King Of The Hive.wav	0.093073517	0.850456178	0.056470286	1	0	1	0	1	
cache/2001.Death Cab for Cutie.The Photo Album.Why You'd Want to Live Here.wav	0.053170305	0.93490386	0.011925861	1	0	1	0	1	
cache/2014.Pomplamoose.Season 2.Come Out To Play.wav	0.049087983	0.915923119	0.034988895	1	0	1	0	1	
cache/2016.Woodkid.Desierto (Original Motion Picture Score).False Hopes.wav	0.269462466	0.674571812	0.05596574	1	0	1	0	0	
cache/2014.OK Go.Hungry Ghosts.Im Not Through.wav	0.191664174	0.703195333	0.105140507	1	0	1	0	1	
cache/2015.Death Cab For Cutie.Kintsugi.No Room In Frame.wav	0.06648434	0.887902975	0.045612667	1	0	1	0	1	
cache/2015.Derrival.Departure & Arrival.Romanticized.wav	0.047744092	0.938313723	0.01394218	1	0	1	0	1	
cache/2014.Pomplamoose.Season 2.The Internet Is Awesome.wav	0.098095223	0.773267388	0.128637359	1	0	1	0	1	
"cache/2015.MOGWAI.Central Belters.I'm Jim Morrison, I'm Dead.wav"	0.126986831	0.800161421	0.072851755	1	0	1	0	1	
cache/2015.Gordon's Tsunami Week.The Farewell Paradox.is.wav	0.073542789	0.883828282	0.042628918	1	0	1	0	1	
cache/2006.Glen Hansard and Marketa Irglova.The Swell Season.Falling Slowly.wav	0.138021588	0.766651511	0.095326915	1	0	1	0	1	
cache/2005.The Fray.How to Save a Life.Heaven Forbid.wav	0.063091807	0.902198315	0.034709889	1	0	1	0	1	
"cache/2001.Daft Punk.Discovery.Harder, Better, Faster, Stronger.wav"	0.065242216	0.882540107	0.052217681	1	0	1	0	1	
cache/2013.Kodaline.In A Perfect World.Pray.wav	0.045588713	0.922964633	0.031446643	1	0	1	0	1	
cache/2014.Lower Than Atlantis.Lower Than Atlantis (Deluxe).English Kids in America.wav	0.1703192	0.793842018	0.035838805	1	0	1	0	1	
cache/2015.Marina and The Diamonds.FROOT.Can't Pin Me Down.wav	0.108186118	0.83298713	0.058826756	1	0	1	0	1	
cache/2015.White Morning.Scores.Catch It (Part II).wav	0.062976643	0.786765635	0.150257707	1	0	1	0	0	
cache/2014.Rise Against.The Black Market.Tragedy+Time.wav	0.169528946	0.77021575	0.060255293	1	0	1	0	1	
cache/2016.Blue October.Home.The Still.wav	0.118046269	0.797109365	0.084844366	1	0	1	0	1	
cache/2014.Haerts.Haerts.Lights Out.wav	0.120804362	0.820903957	0.058291666	1	0	1	0	1	
cache/2003.Blue Man Group.The Complex-ADVANCE.Your Attention.wav	0.081723861	0.897673368	0.020602752	1	0	1	0	1	
cache/2014.Little Boots.Business Pleasure - EP.Business Pleasure.wav	0.172848359	0.7404024	0.086749218	1	0	1	0	1	
